天,0.1,0.0,0.0,0.95838267,0.3712871,0.23468715,1.0,0.99104565,0.13588743,0.9387482,0.0,0.0,0.0,0.0,0.9931313,0.0,0.0,0.0,0.0,0.9273172,0.0,0.0,0.0,0.0,0.6265383,0.19708128,0.0,0.0,0.9328358,0.097826585,0.274295,0.043122478,0.9351832,0.9355594,0.27429485,0.0,0.0,0.0,0.0,0.20060033,0.0,0.0,0.0,0.0,0.28081584,0.0,0.0,0.0,0.0,0.19449137,0.73557085
地,0.2,0.0,0.0,0.33220148,0.0,0.0,0.10742759,0.084929086,0.77513677,0.82385397,0.51702124,0.9606357,0.9695299,0.9201373,0.7942555,0.0,0.2723029,0.30996156,0.050957482,1.0,0.8985628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28480217,0.0,0.0,0.9262083,0.22741644,0.1127813,0.9790571,0.2573972,0.13203765,0.88336885,0.15007673,0.44346318,0.0,0.13493425,0.8487159,0.1250006,0.06695064,0.97651374,0.0,0.0,0.0,0.0,0.0
玄,0.2,0.0,0.0,0.46043855,0.0,0.0,0.0,0.04168624,0.4072921,0.0,0.0,0.0,0.89144814,1.0,0.0,0.0,0.0,0.0,0.992486,0.0,0.0,0.0,0.0,0.9081609,0.13922063,0.0,0.0,0.0,0.17084545,0.0,0.0,0.0,0.9064162,0.018110594,0.0,0.0,0.0,0.9730371,0.27961206,0.0,0.0,0.0,0.0,0.27232143,0.0,0.0,0.0,0.0,0.18981674,0.2632324,0.0
黃,0.1,0.0,0.10538024,0.6458554,0.40213883,0.0,0.28472096,0.98461217,0.888729,0.5850725,0.0,0.0,0.0,0.41370887,1.0,0.0,0.0,0.0,0.9821419,0.0,0.0,0.0,0.0,0.13172491,0.7070085,0.0,0.0,0.9262081,0.14351854,0.7359932,0.0,0.06789982,0.9415625,0.14294112,0.06949134,0.0,0.0,0.0,0.44449142,0.34566385,0.0,0.0,0.0,0.22120467,0.0,0.0,0.0,0.0,0.47137505,0.25265232,0.0
宇,0.3,0.0,0.16077586,0.29973295,0.4076644,0.0,0.2264929,0.8043339,0.7913833,0.5520308,0.0,0.0,0.0,0.9369092,0.18390986,0.0,0.0,0.0,1.0,0.02577775,0.0,0.0,0.065720625,0.94464344,0.0,0.0,0.0,0.08462652,0.187833,0.003182667,0.0,0.08404563,0.9508322,0.94827336,0.29526126,0.0,0.0,0.0,0.27924383,0.71443254,0.0,0.0,0.0,0.13693717,0.94879186,0.0,0.0,0.48020825,0.35846078,0.0,0.0
宙,0.2,0.0,0.6565002,0.8819099,0.8751134,0.5862507,0.7007692,0.32937267,1.0,0.51126766,0.65874517,0.0,0.3244638,0.6726318,0.4986819,0.0,0.0,0.14421703,0.59795964,0.8838721,0.0,0.0,0.34011185,0.43146223,0.8522215,0.0,0.0,0.9409708,0.1307848,0.012376682,0.13588408,0.9610104,0.92620814,0.3052005,0.4644326,0.3633752,0.0,0.28359652,0.09060897,0.05921645,0.0,0.0,0.125,0.97272414,0.25204027,0.0,0.0,0.7553032,0.5379759,0.34945375,0.0
洪,0.4,0.6385416,0.0,0.0,0.29154414,0.6364082,0.20408091,0.13200225,0.2951661,0.70707726,0.23067012,0.46982956,0.54760647,1.0,0.62454444,0.0,0.3779966,0.45930907,0.0,0.65301985,0.0,0.3422385,0.0,0.0,0.52030617,0.33419645,0.23619512,0.0,0.0,0.90362453,0.24538809,0.30120826,0.21640317,0.0049719084,0.93828446,0.0063627926,0.20570725,0.875,0.9492558,0.22641955,0.0,0.21477665,0.8568894,0.0,0.2862646,0.0,0.9871238,0.0,0.0,0.16737525,0.06789978
荒,0.4,0.16610558,1.0,0.7452103,0.0,0.0,0.0,0.16890527,0.69641435,0.0,0.0,0.0,0.50825626,0.29653302,0.0,0.0,0.019768776,0.94564664,0.0,0.0,0.0,0.16301818,0.716986,0.28304744,0.44213364,0.0,0.07000305,0.9929624,0.13435131,0.0,0.0,0.0,0.98330814,0.22770214,0.0,0.0,0.0,0.13871998,0.42620817,0.0,0.0,0.32379177,0.36552513,0.0,0.0,0.0,0.21519777,0.007853088,0.040195398,0.25318274,0.0
日,0.1,0.5624887,0.86080384,0.8512289,0.9417459,0.0,0.0,0.0,0.0,0.8331258,0.0,0.38068113,0.82759744,0.2828427,0.814822,0.0,0.860804,0.0,0.0,0.90824974,0.0,0.8258132,0.84872115,1.0,0.38411054,0.0,0.010253842,0.95938647,0.003385759,0.14452328,0.0,0.0,0.0,0.0,0.24654067,0.0,0.9295938,0.97199833,0.11057081,0.25,0.0,0.79061353,0.0,0.0,0.31527382,0.0,0.6447917,0.5307505,0.41201258,0.375,0.0
月,0.3,0.0,0.44457248,0.5739937,0.8343218,0.0,0.0,0.7691917,0.67127603,0.73576796,0.0,0.06955876,0.6953903,0.76830095,0.7607784,0.0,0.38905036,0.09837085,0.49684045,0.6799915,0.0,0.0,0.09743851,1.0,0.0,0.0,0.0,0.22596511,0.0079511395,0.18436277,0.0,0.0,0.26782998,0.23639141,0.2479332,0.0,0.29429302,0.28527656,0.27986377,0.2822005,0.0,0.31854683,0.33070743,0.31283295,0.3047444,0.0,0.0,0.46858367,0.37284935,0.0,0.0
